username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international
AmiadCohen,0,"['Advocating for reduced judicial oversight and stronger parliamentary power', ""Promoting Israel's identity as a Jewish nation-state"", 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Labor unions', 'Judicial oversight']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",70,"['אם זה הסרטון שאתם מדברים עליו, הוא לא אומר מה שאתם רוצים שהוא יגיד.', 'מי אתם נתינים נבחרים שתזכו להביע את עמדתכם מול בית המשפט??? אז מה אם נתינים אחרים בחרו בכם???? זה לא שכונה פה, זאת דמוקרטיה !!!!!!!!!!']","['cynical', 'frustrated']","[""Promoting Israel's Jewish identity"", 'Reducing judicial oversight', 'Opposing labor unions']","Highly ideological, with a strong belief in reducing government power and promoting a Jewish nationalist agenda, even at the expense of civil liberties and democratic norms.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a higher frequency of security-related terms compared to judicial reform terms, indicating a focus on national security issues.', 'score': 70}","{'analysis': 'Approximately 60% of the policy-focused posts discuss national security issues, while the remaining 40% focus on economic and judicial reform topics.', 'score': 60}","{'analysis': 'The tone towards government oversight becomes increasingly critical, with a desire to reduce judicial oversight and strengthen parliamentary power.', 'score': 8}","{'analysis': 'The tweets show a shift in emphasis from individual rights towards prioritizing collective security and the Jewish nation-state identity.', 'score': 6}","{'analysis': ""There are limited references to international law, with a focus on promoting Israel's national interests over adherence to global norms."", 'score': -40}","{'analysis': 'The tweets indicate a strong emphasis on increasing defense spending and military capabilities to address security threats.', 'score': 9}","{'analysis': 'The tweets suggest a growing acceptance of expanded executive powers, particularly in the context of national security and the judicial reform agenda.', 'score': 3}","{'analysis': 'The tweets prioritize judicial reform over security-focused initiatives, with a clear emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The tweets demonstrate a willingness to restrict civil liberties, such as labor rights, in the name of national security and the Jewish nation-state agenda.', 'score': 7}","{'analysis': 'The tweets focus primarily on domestic policy issues, with limited attention paid to international relations or adherence to global norms.', 'score': 70}"
AmiadCohen,1,"['Advocating for reduced judicial oversight and stronger parliamentary power', ""Promoting Israel's identity as a Jewish nation-state"", 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Political leaders of the right', 'Military and security leadership']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",75,"['לא משנה כמה המנהיגים הפוליטיים של הימין טיפשים, כשזאת האלטרנטיבה, הם ימשיכו להוביל את המדינה לנצח.', 'את ההערכה שלי לחליווה והרצי הלוי איבדתי מזמן. אבל אני לא מבין איך קצין מעל דרגת סרן ששירת באוגדת עזה לפני המלחמה מצליח לקום בבוקר ולהסתכל במראה.']","['cynical', 'angry']","['Reducing judicial oversight and increasing parliamentary power', ""Promoting Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of political and military leadership, and willing to use aggressive rhetoric to defend their nationalist and free-market agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a relatively balanced focus on both security-related and judicial reform-related topics, with some overlap between the two areas.', 'score': 60}","{'analysis': 'The tweets indicate a greater emphasis on national security issues compared to economic or judicial reform topics, though the latter are still present.', 'score': 70}","{'analysis': 'The tweets express a clear distrust and criticism of government oversight, particularly of the military and security establishment. There is a desire to reduce such oversight.', 'score': 8}","{'analysis': 'The tweets prioritize collective security and the interests of the Jewish nation-state over individual rights and liberties. There is a willingness to sacrifice civil liberties for perceived security needs.', 'score': 7}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic political and security concerns. There is a nationalist, unilateralist tone that downplays the importance of international norms.', 'score': -40}","{'analysis': 'The tweets suggest a high priority on defense spending and military capabilities, even at the expense of other economic or social needs.', 'score': 8}","{'analysis': 'The tweets express support for the expansion of executive branch powers, particularly in the security realm, and a willingness to override checks and balances.', 'score': 4}","{'analysis': 'The tweets indicate that judicial reform is a higher priority than security sector reform, with the goal of reducing judicial oversight and increasing parliamentary control.', 'score': 80}","{'analysis': 'The tweets show a willingness to restrict civil liberties and individual rights in the name of collective security, particularly during perceived emergency situations.', 'score': 7}","{'analysis': 'The tweets focus primarily on domestic political and security issues, with limited attention to international relations or the broader global context.', 'score': 70}"
AmiadCohen,2,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Yair Lapid', 'Benny Gantz', 'Gadi Eisenkot', 'Ronen Manelis', 'Kohelet Forum']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['רבאק, רדמן הזה מטומטם אמיתי🤦🏽\u200d♀️. יש לו הבנה אפסית בתפיסת עולם של רוטמן ופרופ אליה, וכתוצאה הוא פולט שטויות כמו מה שקרה פה. מביך. אין לו מושג ירוק על מה הוא מפגין ובשביל מה הוא ניסה לפרק את הצבא. חבל שהוא מייצג את השמאל.', 'פתית שלג רך ועדין שכמותו. שואלים שאלה והוא נמס 🫠']","['cynical', 'frustrated']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","Highly critical of left-wing figures and institutions, while strongly defending the right-wing agenda of reducing government regulation and judicial oversight.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a balance between security-related terms and judicial reform, indicating a focus on both national security and judicial/political issues.', 'score': 60}","{'analysis': 'The majority of policy-focused posts appear to be on national security and defense issues, rather than economic or judicial reform.', 'score': 70}","{'analysis': 'The tone towards government oversight, particularly the judiciary, is highly critical and advocates for reduced oversight and increased parliamentary power.', 'score': 8}","{'analysis': 'There is a clear emphasis on collective security and national interests over individual rights and liberties.', 'score': 7}","{'analysis': ""References to international law and norms are limited, with a focus on promoting Israel's national interests and identity as a Jewish state."", 'score': -40}","{'analysis': 'The tweets strongly advocate for significant increases in defense spending and military capabilities, viewing this as a top priority.', 'score': 9}","{'analysis': 'There are indications of support for expanding executive powers and reducing checks on the government, particularly the judiciary.', 'score': 3}","{'analysis': 'The emphasis is clearly on judicial reform over security sector reform, with a strong push to reduce judicial oversight.', 'score': 80}","{'analysis': 'The tweets suggest a willingness to accept restrictions on civil liberties during emergency situations in the name of national security.', 'score': 7}","{'analysis': ""The focus is primarily on domestic policy issues, with limited discussion of international relations or Israel's global standing."", 'score': 70}"
AmiadCohen,3,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Professors of Law', 'Left-wing political parties', 'Judicial oversight']","['Douglas Murray', 'Benjamin Netanyahu', 'Kohelet Forum']",75,"['רמת הבורות הכלכלית של פרופסור למשפטים היא בלתי נתפסת ומעידה כנראה על רמת האקדמיה הישראלית (ובעיקר על ההטיה האידיאולוגית שלה שמונעת ממנה להבין עובדות)', 'מעולם לא פגשתי אנשים שלא מסכימים איתי. פעם בטעות פגשתי אדם כזה, אבל ברור שהוא היה אדם רשע לכן אני לא סופר את זה.']","['cynical', 'angry']","['Reduce government regulation and increase free-market economics', ""Strengthen Israel's identity as a Jewish nation-state"", 'Reduce judicial oversight and increase parliamentary power']","Strongly ideological, dismissive of opposing views, and willing to use aggressive rhetoric to defend their positions.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security issues, with a greater emphasis on reducing judicial oversight and increasing parliamentary power.', 'score': 70}","{'analysis': 'The majority of policy posts focus on economic and judicial issues, with less emphasis on national security concerns.', 'score': 30}","{'analysis': 'The tone towards government oversight is highly critical, with a desire to reduce judicial oversight and increase parliamentary power.', 'score': 8}","{'analysis': 'The tweets prioritize the collective security and identity of Israel as a Jewish nation-state over individual rights and liberties.', 'score': 7}","{'analysis': 'There are no significant references to international law, suggesting a focus on domestic policy over international considerations.', 'score': -50}","{'analysis': 'The tweets do not directly address defense spending, indicating a greater focus on economic and judicial reforms than military/security issues.', 'score': 5}","{'analysis': 'The tweets express a desire to reduce judicial oversight and increase parliamentary power, suggesting a shift towards greater executive authority.', 'score': 3}","{'analysis': 'The tweets place a much higher priority on judicial reform than security-related issues, with a strong emphasis on reducing the power of the judiciary.', 'score': 80}","{'analysis': 'The tweets do not directly address civil liberties during emergency situations, focusing more on broader political and economic reforms.', 'score': 4}","{'analysis': 'The tweets are primarily focused on domestic Israeli politics and policy, with little discussion of international relations or foreign policy concerns.', 'score': 80}"
AmiadCohen,4,"['Advocating for reduced government control in education', 'Promoting privatization and free-market economics', 'Criticizing left-wing influence in education system']","['Ministry of Education', ""Teachers' unions"", 'Left-wing ideology']","['Kohelet Forum', 'Amiad Cohen', 'Douglas Murray']",70,"['כל הפקידות של מערכת החינוך היא שמאל. איגודי עובדים זה שמאל. לשר החינוך בכל ממשלות ישראל יש אפס השפעה על מערכת החינוך. אין לו יכולת להשפיע על מימון, אין לו יכולת להשפיע על תכנים. הוא עציץ במשרד. אז כן, שני החסמים העיקרים לתיקון מערכת החינוך הם עמוק בשמאל. משרד החינוך וארגוני המורים', 'אולי שמישהו בשמאל הישראלי יתעורר ויבין שצריך להפריט את מערכת החינוך. כי שר החינוך לא יכול להיות אחראי לכל מערכת שעות. תנו להורים להיות הלקוח ולהחליט לאן הם ישלחו את הילדים ואיך זה יתנהל. אבל התפיסה הקומוניסטית של השמאל בישראל מכריחה אותו לתת לממשלה את כל הכח. לא נתפס']","['cynical', 'frustrated']","['Privatize the education system', 'Reduce government control and increase parental choice']","The user exhibits a strong anti-left, pro-free market ideology, with a cynical and frustrated tone towards the perceived left-wing influence in the education system. They advocate for significant reforms to reduce government control and increase privatization.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on security-related issues than judicial reform, with a significant emphasis on the education system and its perceived left-wing influence.', 'score': 70}","{'analysis': 'The majority of the policy posts focus on national security concerns, particularly in the education sector, rather than economic or judicial issues.', 'score': 80}","{'analysis': 'The user expresses a strong distrust and criticism of government oversight, particularly in the education system, advocating for reduced control and increased privatization.', 'score': 8}","{'analysis': 'The user prioritizes collective security concerns, such as reducing left-wing influence in education, over individual rights and liberties.', 'score': 7}","{'analysis': 'There are no significant references to international law in the analyzed tweets.', 'score': 0}","{'analysis': 'The tweets do not directly address defense spending, but the focus on national security concerns suggests a potential priority on maintaining or increasing defense budgets.', 'score': 7}","{'analysis': 'The tweets do not directly address the use of emergency powers, but the overall tone suggests a willingness to grant the executive branch more authority to address perceived threats, such as left-wing influence in education.', 'score': 3}","{'analysis': 'The tweets prioritize security-related reforms, particularly in the education sector, over judicial reforms.', 'score': 80}","{'analysis': 'The tweets do not directly address civil liberties or the potential for increased restrictions during emergency situations.', 'score': 5}","{'analysis': 'The tweets focus almost exclusively on domestic policy issues, with little to no attention paid to international relations or foreign policy concerns.', 'score': 90}"
AmiadCohen,5,"['Advocating for free-market economics and reduced government regulation', ""Promoting Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Kohelet Forum', 'The Movement for Quality Government in Israel', 'Ronen Bergman']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['לכבוש את כל השטח עד הליטאני, ולהודיע שאנחנו נשארים שם עד שחיזבאללה מפורק מנשקו. בנתיים ממשיכים להפציץ, לשרוף ולהרוס את כל הכפרים ששימשו כבסיסי צבא של חיזבאללה דרומית לליטאני. ממשיכים להפציץ את בירות והבקעא. ומחכים. מאותו הרגע הזמן פועל לטובתנו.', 'התנועה לאיכות השלטון מעריצה את ראש השירות החשאי כדי שהוא ישתמש בכוחו להדיח ראש ממשלה מכהן שנבחר בבחירות דמוקרטיות רק בגלל שהוא מהמפלגה היריבה. מאד ליברלי מצידם']","['cynical', 'angry']","['Advocating for free-market economics and reduced government regulation', ""Promoting Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","The user exhibits a strong ideological stance in favor of free-market economics, reduced government regulation, and strengthening Israel's Jewish identity. They are highly critical of perceived threats to these goals, such as the judicial system and left-leaning political movements.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': ""The user frequently references security-related terms like 'Hezbollah', 'Iran', and 'military operations', indicating a strong focus on national security issues. However, they also devote significant attention to judicial reform and the balance of power between the branches of government."", 'score': 70}","{'analysis': ""The user's posts cover both national security and economic/judicial issues, with a slight emphasis on the latter. Around 60% of the posts focus on economic and judicial reform, while the remaining 40% address security-related topics."", 'score': 60}","{'analysis': ""The user's tone towards government oversight becomes increasingly critical, expressing a desire for reduced judicial oversight and stronger parliamentary power. They view the judiciary as overstepping its bounds and undermining the democratic process."", 'score': 8}","{'analysis': ""The user's emphasis shifts towards prioritizing collective security and national interests over individual rights and liberties. They advocate for measures that may infringe on civil liberties in the name of protecting the state."", 'score': 6}","{'analysis': 'The user makes limited references to international law, focusing more on domestic political and security concerns. They do not appear to place a high priority on adherence to international legal frameworks.', 'score': -20}","{'analysis': ""The user strongly advocates for maintaining a robust defense budget and military capabilities, viewing this as essential for Israel's security and ability to confront its adversaries. They do not express concerns about the economic impact of high defense spending."", 'score': 9}","{'analysis': ""The user appears to support expanding the executive branch's powers, particularly in the realm of national security. They are critical of perceived judicial overreach and express a desire for the government to have greater autonomy in decision-making."", 'score': 3}","{'analysis': 'The user places a greater emphasis on judicial reform than on security-related issues, indicating that the former is a higher priority for them. They view the current judicial system as an obstacle to their desired political and economic agenda.', 'score': 70}","{'analysis': 'The user appears willing to accept increased restrictions on civil liberties during emergency situations, prioritizing collective security over individual rights. They do not express significant concerns about the potential for abuse of emergency powers.', 'score': 7}","{'analysis': ""The user's focus is primarily on domestic political and economic issues, with limited attention paid to Israel's international relations and standing. They seem more concerned with internal power dynamics and reforms than with Israel's global positioning."", 'score': 80}"
AmiadCohen,6,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Kohelet Forum', 'Benjamin Netanyahu', 'Yair Lapid', 'Labor unions', 'Government oversight']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Free market economics', 'Privatization']",75,"['אֶרְדּוֹף אוֹיְבַי וְאַשִּׂיגֵם וְלֹא אָשׁוּב עַד כַּלּוֹתָם', 'גרטה: אני רוצה להודות לחמאס על הסיוע בהצלת כדור הארץ וצמצום חתימת הפחמן של יהודים. פחות יהודים, פחות פליטות פד״ח.']","['angry', 'cynical']","[""Promote Israel's Jewish identity"", 'Reduce government regulation and oversight', 'Strengthen parliamentary power over judiciary']","Strongly ideological, favoring nationalist and free-market policies while opposing labor unions and government oversight.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a balance between security-related terms and judicial reform topics, indicating a focus on both national security and the judicial system.', 'score': 60}","{'analysis': 'Approximately 40% of the posts focus on national security issues, while 60% address economic and judicial reform topics.', 'score': 60}","{'analysis': 'The tone towards government oversight is increasingly critical, with a desire to reduce judicial and regulatory power.', 'score': 8}","{'analysis': 'There is a clear shift in emphasis from individual rights towards prioritizing collective security and national interests.', 'score': 7}","{'analysis': 'References to international law are limited, with a focus on unilateral action and national sovereignty.', 'score': -40}","{'analysis': 'The tweets advocate for maintaining or increasing defense spending to bolster national security.', 'score': 8}","{'analysis': 'There is support for expanding executive branch powers, especially during perceived security emergencies.', 'score': 3}","{'analysis': 'Judicial reform appears to be the primary focus, with security issues playing a supporting role.', 'score': 70}","{'analysis': 'There is a willingness to restrict civil liberties in the name of collective security during crises.', 'score': 7}","{'analysis': 'The emphasis is predominantly on domestic policy issues, with limited discussion of international relations.', 'score': 80}"
AmiadCohen,7,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Benny Gantz', 'Yair Lapid', 'Ehud Olmert', 'Ehud Barak', 'Naftali Bennett']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",80,"['עד שבג״ץ יגיד שאסור לירות שם כי יש מפגינים והוראות הפתיחה באש לא חוקיות', 'אתה מתיחס לכוחות הפשיטה ואני מתיחס לכלל הכוחות. נתנו להם לבנות צבא בסדר גודל של 3 אוגדות. זאת אסטרטגיה כושלת.']","['angry', 'cynical']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","Highly critical of the current government and military leadership, advocating for a more nationalist and free-market oriented approach.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The user frequently discusses security-related issues, particularly regarding the conflict with Hamas and Hezbollah, while also criticizing the judicial system and advocating for judicial reform.', 'score': 70}","{'analysis': ""The user's posts focus more on national security and military issues than on economic or judicial reform, suggesting a greater emphasis on security concerns."", 'score': 70}","{'analysis': 'The user expresses a strong distrust of government oversight and a desire to reduce the power of the judiciary, indicating a shift towards less government oversight.', 'score': 8}","{'analysis': ""The user's focus on national security and identity suggests a greater emphasis on collective security over individual rights."", 'score': 6}","{'analysis': 'The user does not make any explicit references to international law, suggesting a lack of emphasis on this area.', 'score': -50}","{'analysis': 'The user advocates for a stronger military and criticizes the current military leadership, indicating a high priority on defense spending.', 'score': 8}","{'analysis': 'The user does not express a clear position on executive powers, though the overall tone suggests a desire for less government oversight and more parliamentary power.', 'score': 2}","{'analysis': ""The user's posts focus more on security issues than on judicial reform, suggesting a greater emphasis on security concerns."", 'score': 70}","{'analysis': 'The user does not explicitly discuss changes in attitude towards civil liberties during emergency situations, though the overall tone suggests a willingness to prioritize security over individual rights.', 'score': 7}","{'analysis': ""The user's posts focus more on domestic security and political issues than on international relations, indicating a greater emphasis on domestic policy."", 'score': 70}"
AmiadCohen,8,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Journalists in Israel', 'Thomas Friedman', 'Nadav Eyal']","['Mark Levin', 'Kohelet Forum']",75,"['למה צריך להגיש נגדם כתבי אישום? הם תחת חוק הלב״חים ולא הדין הפלילי. צריך לצבוע את המפתח לכלוב שלהם בכחול ולזרוק לים', 'כולככככככם שומרי סף (רק החברים של יניב רוזנאי ותומכי היוריסטיקראטיה)']","['cynical', 'angry']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","Strongly ideological, favoring free-market economics, reduced government regulation, and Israel's Jewish identity, while being critical of the media and opposing judicial oversight.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a balance between security-related terms and judicial reform topics, with some overlap.', 'score': 60}","{'analysis': 'The tweets focus more on national security issues than economic or judicial reform topics.', 'score': 70}","{'analysis': 'The tweets express a negative tone towards government oversight, favoring reduced judicial oversight and stronger parliamentary power.', 'score': 8}","{'analysis': ""The tweets prioritize collective security over individual rights, with a focus on defending Israel's Jewish identity and national interests."", 'score': 7}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic political and security issues.', 'score': 20}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'The tweets express support for reduced judicial oversight and stronger parliamentary power, suggesting a preference for expanded executive authority during emergencies.', 'score': 4}","{'analysis': ""The tweets prioritize security reform over judicial reform, with a focus on strengthening Israel's military capabilities and national identity."", 'score': 80}","{'analysis': 'The tweets do not directly address civil liberties, but the overall tone suggests a willingness to restrict individual rights in the name of collective security.', 'score': 7}","{'analysis': 'The tweets focus more on domestic political and security issues than international relations, with limited references to regional dynamics.', 'score': 70}"
AmiadCohen,9,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Kohelet Forum', 'Yiniv Rosenai', 'Aharon Barak']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['תומך שלטון המיעוט היוריסטיקרטי מנסה להגדיר מי יכול להחליט לצאת למלחמה . אז בדמוקרטיה, כמו שאנשים ליברלים מגדירים, יש רק סוג אחד של אנשים שיכול להחליט לצאת למלחמה - נבחרי ציבור. הבעיה שרהב לא אוהב את שמחה, ואת הציבור ששמחה מייצג, אז כאנטי דמוקרט מצוי, הוא מבטל את הלגיטימיות של נציגי ציבור שהוא לא מסכים איתם. בושה וחרפה', 'מעבר לתוכן המכוער, לא מביך אותך הסגנון? אתה לא מרגיש מובך להתבטא פומבית בצורה כזאת בהמית? פשוט עצוב']","['cynical', 'frustrated']","['Reducing government regulation and oversight', ""Promoting Israel's identity as a Jewish nation-state""]","The user exhibits a strong ideological bias towards free-market economics and reduced government intervention, while also advocating for a more nationalistic and less judicially-constrained vision of Israel.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a higher frequency of terms related to judicial reform compared to security-related terms.', 'score': 70}","{'analysis': 'The majority of the policy-focused posts appear to be on economic and judicial issues, with less emphasis on national security topics.', 'score': 30}","{'analysis': 'The tone towards government oversight, particularly of the judiciary, is highly critical and advocates for reduced checks on parliamentary power.', 'score': 8}","{'analysis': 'The tweets demonstrate a clear prioritization of collective security and national identity over individual rights and liberties.', 'score': 7}","{'analysis': 'There are limited references to international law, with a focus on promoting a nationalist, unilateral approach.', 'score': -60}","{'analysis': 'The tweets do not directly address defense spending, but the overall economic policy recommendations suggest a lower priority on defense budgets.', 'score': 3}","{'analysis': 'The tweets express support for increased executive power and reduced judicial oversight, particularly during emergency situations.', 'score': 4}","{'analysis': 'The emphasis is clearly on judicial reform, with limited discussion of security-related reforms.', 'score': 80}","{'analysis': 'The tweets indicate a willingness to restrict civil liberties in the name of collective security and national identity during emergency situations.', 'score': 7}","{'analysis': ""The focus is predominantly on domestic policy issues, with little attention paid to international relations or Israel's global standing."", 'score': 70}"
