username,batch_id,policy_themes,security_themes,confidence_ratings,confidence_explanation,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile
ptr_dvd,0,"['judicial reform', 'economic policy', 'civil rights']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
ptr_dvd,1,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets show a greater emphasis on security-related themes compared to judicial reform, though both are present.', 'score': '60'}","{'analysis': 'The tweets focus more on judicial reform and civil rights issues than economic policy, with a relatively lower emphasis on national security.', 'score': '30'}","{'analysis': 'The tweets express a strong distrust of government oversight, particularly of the judiciary, and a desire to reduce its influence.', 'score': '8'}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights and liberties, reflecting a more nationalist and security-focused perspective.', 'score': '6'}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic political and judicial issues.', 'score': '20'}","{'analysis': ""The tweets do not directly address defense spending, suggesting it is not a primary focus of the Kohelet Forum's agenda."", 'score': '3'}","{'analysis': 'The tweets express a desire to reduce judicial oversight and increase parliamentary power, which could indicate a shift towards greater executive authority.', 'score': '4'}","{'analysis': ""The tweets place a higher priority on judicial reform and reducing judicial oversight than on security-related issues, reflecting the Kohelet Forum's focus on reshaping Israel's legal and political institutions."", 'score': '70'}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergency situations, though the overall tone suggests a willingness to limit certain rights in the name of security.', 'score': '6'}","{'analysis': 'The tweets concentrate primarily on domestic political and judicial issues, with limited references to international relations or foreign policy concerns.', 'score': '80'}",,,,,,,,
ptr_dvd,2,"['judicial reform', 'civil rights', 'economic policy']","['military operations', 'counter-terrorism', 'border security']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets show a balance between security-related themes and judicial reform themes, with both being prominent.', 'score': '50'}","{'analysis': 'The tweets focus more on judicial reform and civil rights issues than on economic policy or defense spending.', 'score': '30'}","{'analysis': 'The tweets express a growing distrust of government oversight, particularly of the judiciary, and a desire for stronger parliamentary power.', 'score': '8'}","{'analysis': 'The tweets emphasize the collective identity of the Jewish nation-state over individual civil liberties, suggesting a shift towards prioritizing national security over individual rights.', 'score': '6'}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic policy and the Jewish identity of the state.', 'score': '-20'}","{'analysis': 'The tweets do not directly address defense spending, suggesting it is not a primary focus of the Kohelet Forum.', 'score': '3'}","{'analysis': 'The tweets express support for reducing judicial oversight and strengthening parliamentary power, which could indicate a desire for increased executive powers.', 'score': '3'}","{'analysis': ""The tweets place a greater emphasis on judicial reform than on security issues, suggesting the Kohelet Forum's primary focus is on reshaping the legal and political system."", 'score': '70'}","{'analysis': 'The tweets do not directly address attitudes towards civil liberties during emergencies, but the overall emphasis on national identity and reduced government oversight suggests a willingness to restrict individual rights for perceived security needs.', 'score': '7'}","{'analysis': ""The tweets focus primarily on domestic policy issues, with limited references to international relations or Israel's global standing."", 'score': '80'}",,,,,,,,
ptr_dvd,3,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets show a greater emphasis on judicial reform than security-related issues, indicating a focus on domestic policy changes over national security concerns.', 'score': '70'}","{'analysis': 'The tweets focus more on judicial reform and economic policy than national security, suggesting a priority on domestic issues over security matters.', 'score': '60'}","{'analysis': 'The tweets express a growing distrust and hostility towards government oversight, particularly of the judiciary, indicating a desire to reduce checks on executive power.', 'score': '8'}","{'analysis': 'The tweets emphasize the collective identity of the Jewish nation-state over individual rights, suggesting a shift towards prioritizing group interests over personal freedoms.', 'score': '7'}","{'analysis': 'The tweets make few references to international law, indicating a focus on domestic policy changes over concerns about compliance with global norms and standards.', 'score': '-20'}","{'analysis': ""The tweets do not directly address defense spending, suggesting it is not a primary concern for the Kohelet Forum's agenda."", 'score': '3'}","{'analysis': 'The tweets express support for reducing judicial oversight and strengthening parliamentary power, indicating a desire to expand executive authority.', 'score': '4'}","{'analysis': ""The tweets place a much greater emphasis on judicial reform than security-related issues, suggesting the Kohelet Forum's primary focus is on domestic policy changes rather than national security concerns."", 'score': '80'}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergency situations, but the overall tone suggests a willingness to prioritize security over individual rights.', 'score': '7'}","{'analysis': 'The tweets concentrate on domestic policy issues, such as judicial reform and economic policy, with little mention of international relations, indicating a focus on internal affairs over global concerns.', 'score': '80'}","[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Opposing labor unions and supporting privatization']","['Kamala Harris', 'Knesset Member Orit Struck', 'Kohelet Forum']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['זה פשוט בלתי נתפס בעיני שיש ישראלים שתומכים בקמלה האריס. עדר למינגים.', 'יש יהודים שלא יבינו גם עם המגף על הגרון.']","['angry', 'cynical']","[""Promoting Israel's Jewish identity"", 'Reducing government regulation', 'Opposing labor unions']","Highly ideological, intolerant of opposing views, and willing to use divisive rhetoric to advance a nationalist, pro-business agenda"
ptr_dvd,4,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"{'analysis': 'The tweets show a greater emphasis on judicial reform issues compared to security-related topics.', 'score': '70'}","{'analysis': 'The majority of policy posts focused on judicial reform and economic issues, with less emphasis on national security.', 'score': '30'}","{'analysis': 'The tone towards government oversight, particularly the judiciary, is highly critical and seeks to reduce its influence.', 'score': '8'}","{'analysis': 'There is a clear shift towards prioritizing collective security interests over individual rights and civil liberties.', 'score': '7'}","{'analysis': 'References to international law and norms are limited, with a focus on promoting a nationalist, Israel-centric agenda.', 'score': '-50'}","{'analysis': 'The tweets do not indicate a clear position on defense spending, with more emphasis on economic and judicial issues.', 'score': '5'}","{'analysis': ""The tweets suggest a desire to increase the executive branch's power at the expense of judicial oversight."", 'score': '4'}","{'analysis': 'Judicial reform appears to be the primary focus, with less emphasis on security-related issues.', 'score': '80'}","{'analysis': 'The tweets indicate a willingness to restrict civil liberties during emergency situations in the name of collective security.', 'score': '7'}","{'analysis': 'The tweets are heavily focused on domestic policy issues, with limited references to international relations or cooperation.', 'score': '90'}",,,,,,,,
ptr_dvd,5,"['judicial reform', 'economic policy', 'civil rights']","['counter-terrorism', 'border security']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Yair Lapid', 'Benny Gantz', 'Kohelet Forum', 'Judicial system', 'Left-wing activists']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Judicial reform']",75,"[""אם היה פה שיח ענייני אז היו מדגישים שעצם הידיעה של רהמ היא הנק' שיוצרת דה-קרימינליזציה של כל הפרשה. אין שום מסירה מצד החייל לגורם לא מוסמך. יש שרשרת מסירה עד רהמ. וההדלפה לעיתון זר כלל לא בוצעה בניגוד לחוק כי החוק מסמיך את רהמ בעניין הזה. אבל הכי חשוב להמשיך בנימה הדרמטית כאילו נחשף כאן משהו אפל."", 'אני רואה מספר עיתונאים שמדווחים בנימה מבודחת על ההתארגנות לשם טרור אידאולוגי של תא']","['cynical', 'angry']","[""Promote Israel's identity as a Jewish nation-state"", 'Reduce judicial oversight and strengthen parliamentary power', 'Advocate for free-market economics and privatization']","The tweets reflect a strong ideological stance in favor of reducing government regulation, strengthening the Jewish character of Israel, and limiting judicial oversight in favor of greater parliamentary power. There is a clear antagonism towards left-wing activists, the judicial system, and political opponents."
ptr_dvd,6,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting judicial reform and reduced government oversight', 'Criticizing left-wing academics and media bias', 'Defending right-wing politicians and policies']","['Kohelet Forum', 'Yair Lapid', 'Dina Zilber', 'Meretz Party', 'Academics and left-wing media']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Amir Ohana']",80,"['אתה קצין משטרה ואתה לא חושב שאתה צריך להיות בובת גרב של השב', ',\n        ']","['cynical', 'frustrated']","['Promote free-market economics and reduce government regulation', 'Strengthen parliamentary power and limit judicial oversight', ""Defend Israel's identity as a Jewish nation-state""]","Highly partisan, distrustful of left-wing institutions and media, and strongly supportive of right-wing political and judicial reforms."
ptr_dvd,7,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Benny Gantz', 'Yair Lapid', 'Kohelet Forum', 'Naama Rozovsky', 'Dov Alfon']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['הדברים של נאווה רוזוליו שחשף אמש בערוץ 14 , לגבי עידוד בית הדין בהאג לעצור את ראש ממשלת ישראל, גובלים בבגידה.', 'מי היה מאמין שהסכנה הגדולה ליהודים ולישראלים בהולנד לא תגיע מאחד מגדולי אוהבי ישראל באירופה חירט וילדרס שמקפידים לכנות...']","['cynical', 'angry']","[""Promote Israel's Jewish national identity"", 'Reduce government regulation and increase privatization', 'Limit judicial oversight of the executive branch']","The user exhibits a strong ideological bias in favor of the Kohelet Forum's agenda, aggressively attacking perceived opponents and defending the forum's positions. The tone is highly critical and confrontational."
ptr_dvd,8,"['judicial reform', 'economic policy', 'civil rights']","['military operations', 'counter-terrorism', 'border security']","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,,,,,,,,,,,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'Judicial system', 'Labor unions']","['Benjamin Netanyahu', 'Simcha Rothman', 'Religious Zionism Party']",75,"['החוצפה של טייס תומך סרבנות שמאשים יועץ מקצועי ליו', ',\n        ']","['cynical', 'frustrated']","[""Promote Israel's identity as a Jewish nation-state"", 'Reduce judicial oversight and increase parliamentary power', 'Advocate for free-market economics and privatization']","Strongly ideological, distrustful of the judicial system and government oversight, and willing to use aggressive rhetoric to defend their political agenda."
ptr_dvd,9,"['judicial reform', 'democratic rights', 'civil liberties']","['border security', 'counter-terrorism']","{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,,,,,,,,,,,,,,,,,,
