username,batch_id,narratives,attacked_entities,protected_entities,emotional_tones,toxicity_level,security_vs_judicial,government_oversight,individual_vs_collective,emergency_restrictions,domestic_vs_international,security_themes,policy_themes,confidence_ratings,confidence_explanation
ptr_dvd,0,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
ptr_dvd,1,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
ptr_dvd,2,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
ptr_dvd,3,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,0,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,1,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,2,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,3,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,4,['No clear narrative identified'],['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
SagiBarmak,5,"['of hope and national pride"",\n    ""Narrative of despair and disillusionment"",\n    ""Narrative of legal reform and its impact""\n  ],\n  ""attacked_entities"": [\n    ""Government"",\n    ""Judicial system"",\n    ""Medical establishment""\n  ],\n  ""protected_entities"": [\n    ""Israelis who want to leave the country"",\n    ""Doctors and medical professionals"",\n    ""Supporters of legal reform""\n  ],\n  ""toxicity_level"": 75,\n  ""toxic_examples"": [\n    ""Dismissive and condescending language towards those who want to leave Israel"",\n    ""Accusations of lack of intelligence and cooperation with the media""\n  ],\n  ""emotional_tones"": [\n    ""angry"",\n    ""cynical""\n  ],\n  ""stated_goals"": [\n    ""Improving the situation in Israel"",\n    ""Addressing the shortage of doctors"",\n    ""Defending the legal reform""\n  ],\n  ""psychological_profile"": ""The tweets display a mix of nationalistic pride, frustration with the current state of affairs, and a defensive stance towards the legal reform and its critics."",\n  ""security_analysis"": {\n    ""security_vs_judicial"": {\n      ""score"": 70,\n      ""analysis"": ""The tweets suggest a tendency to prioritize security concerns over judicial oversight, with a view that the legal reform is not a major factor in the shortage of doctors.""\n    },\n    ""government_oversight"": {\n      ""score"": 6,\n      ""analysis"": ""The tweets express skepticism towards government oversight and a belief that the government has failed to address the shortage of doctors and other systemic issues.""\n    },\n    ""individual_vs_collective"": {\n      ""score"": 3,\n      ""analysis"": ""The tweets display a stronger focus on collective national interests and a dismissive attitude towards those who want to leave the country, suggesting a tilt towards the collective over individual rights.""\n    },\n    ""emergency_restrictions"": {\n      ""score"": 7,\n      ""analysis"": ""The tweets do not directly address emergency powers and restrictions, but the overall tone suggests a willingness to prioritize security measures over individual freedoms.""\n    },\n    ""domestic_vs_international"": {\n      ""score"": 50,\n      ""analysis"": ""The tweets primarily focus on domestic issues and concerns, with limited references to international perspectives or influences.""\n    }\n  },\n  ""confidence_ratings"": {\n    ""overall"":', '85,\n    ""narratives"":', '9,\n    ""entities"":']",['Unspecified'],['Unspecified'],['neutral'],50,"{'score': 50, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","{'score': 5, 'analysis': 'No specific analysis available'}","{'score': 0, 'analysis': 'No specific analysis available'}","['border security', 'counter-terrorism']","['judicial reform', 'economic policy']","{'overall': 0.8, 'narratives': 0.85, 'entities': 0.75, 'toxicity': 0.75}",Analysis based on consistent patterns in the tweet data.
