username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation
AmiadCohen,0,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Kohelet Forum', 'Benjamin Netanyahu', 'Benny Gantz', 'Gadi Eisenkot']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['למה צריך להגיש נגדם כתבי אישום? הם תחת חוק הלב״חים ולא הדין הפלילי. צריך לצבוע את המפתח לכלוב שלהם בכחול ולזרוק לים', 'אם זה הסרטון שאתם מדברים עליו, הוא לא אומר מה שאתם רוצים שהוא יגיד.']","['angry', 'cynical']","[""Promote Israel's Jewish identity"", 'Reduce government regulation and oversight', 'Strengthen parliamentary power over judiciary']","Strongly ideological, distrustful of political opponents, willing to use aggressive rhetoric to defend their positions.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,1,"['Criticizing political and military leadership', 'Advocating for accountability and reform', 'Promoting nationalist and free-market ideology']","['Benjamin Netanyahu', 'Benny Gantz', 'Ehud Barak', 'Naftali Bennett', 'Yair Lapid']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Kohelet Forum']",75,"['לשקר, לרמות ולזייף כדי לקבל שררה זה לא היהדות שלי', 'מי שרוצה ניצחון מוחלט לא נושא ונותן מי שרוצה עיסקה, מדבר על ניצחון מוחלט ומי שדורש עסקה, יאלץ בסוף להכנע.']","['angry', 'cynical']","['Promote free-market economics and reduce government regulation', ""Advocate for Israel's identity as a Jewish nation-state"", 'Reduce judicial oversight and strengthen parliamentary power']","Highly critical of political and military leadership, advocating for accountability and reform from a nationalist, free-market perspective.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,2,"['Criticizing military and intelligence failures', 'Advocating for economic reforms and tax simplification', 'Expressing concerns about antisemitism on university campuses']","['Hamas', 'Israeli military leadership', 'Brown University', 'The Seventh Eye (media outlet)']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",65,"['אנחנו לא נעמוד בלי לנצח את המלחמה. יש כל כך הרבה דברים שאפשר לעשות לפני שנכנעים לאוייבים בגלל החשש מעליית מחירי הסנדוויצ׳ים בארומה. ולא, אני לא מזלזל באינפלציה, אני בז לאנשים שבחולשתם חוששים לקבל החלטות קשות ובכך פוגעים אנושות במאמץ המלחמתי.', 'חיילנו בצפון, נא לא לבקש סיוע אווירי בימים הקרובים. אנחנו נהיה עסוקים בדחיפת האג׳נדה הפוליטית שלנו בעזרת הוואסח הצבאי שלנו. תהיו חזקים. (אל תדאגו, נשלח חבילות ממותגות לחיילים הפצועים ולאלמנות)']","['angry', 'cynical']","['Improve military capabilities and strategy', 'Implement tax reform and economic changes']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,3,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Kohelet Forum', 'Yair Lapid', 'Labor unions', 'The Supreme Court', 'The Knesset']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Amiad Cohen', 'Benjamin Netanyahu']",75,"['אפשר להתלהב מהפירוטכניקה, החיסולים הממוקדים והעליונות האווירית, ואפשר להחליט שרוצים לנצח את המלחמה.', 'מלחמתנו היא מלחמה צודקת. אסור לנו לסבול אויב שרוצה להשמיד אותנו, אסור לנו לגלות חולשה.']","['angry', 'cynical']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and increasing parliamentary power', 'Advocating for free-market economics and privatization']","Strongly ideological, nationalistic, and distrustful of government institutions and the political left.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,4,"['Promoting judicial reform and reduced oversight', 'Advocating for free-market economics and privatization', 'Opposing labor unions and supporting educational autonomy']","['Kohelet Forum', 'Left-wing media', 'Leftist ideology']","['Benjamin Netanyahu', 'Simcha Rothman', 'Religious Zionism Party']",75,"['כל מי שלא מסכים איתי הוא מכונת רעל. #זאת_הרמה', 'אֶרְדּוֹף אוֹיְבַי וְאַשִּׂיגֵם וְלֹא אָשׁוּב עַד כַּלּוֹתָם']","['angry', 'cynical']","['Increase military spending and preparedness', 'Promote economic reforms and privatization', ""Strengthen Israel's Jewish national identity""]","Highly ideological, favoring right-wing nationalist and free-market policies, with a combative and dismissive attitude towards opposing views.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,5,"['Promoting free-market economics and reduced government', ""Advocating for Israel's Jewish nation-state identity"", 'Opposing labor unions and supporting privatization']","['Kamala Harris', 'The Israeli left', 'Benny Gantz', 'Avigdor Lieberman', 'The Supreme Court']","['Douglas Murray', 'Ben Shapiro', 'Donald Trump', 'Amiad Cohen', 'Kohelet Forum']",70,"['מעולם לא פגשתי אנשים שלא מסכימים איתי. פעם בטעות פגשתי אדם כזה, אבל ברור שהוא היה אדם רשע לכן אני לא סופר את זה.', 'בן גביר אדם נאלח, רדוד, פאשיסט, אלים וגזען. מה זה קשור?']","['cynical', 'angry']","['Reducing judicial oversight and strengthening parliamentary power', ""Promoting Israel's Jewish identity and nation-state status"", 'Advocating for educational autonomy and privatization']","Strongly ideological, dismissive of opposing views, and prone to using inflammatory language against perceived adversaries.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,6,"['Criticizing left-wing control of education', 'Advocating for judicial reform and reduced government power', ""Promoting Israel's identity as a Jewish nation-state""]","['Ministry of Education', ""Teachers' unions"", 'International Criminal Court (ICC)']","['Kohelet Forum', 'Douglas Murray', 'Amiad Cohen']",70,"['כל הפקידות של מערכת החינוך היא שמאל. איגודי עובדים זה שמאל.', 'התגובה על הפעלת הכח הבלתי מרוסנות של הפרקליטות על פלדשטיין, אבדן הגבולות של מיארה והטמטום של הICC , יחזור אליהם באותה עוצמה מהצד השני.']","['angry', 'cynical']","['Reduce government control over education', ""Strengthen Israel's Jewish identity"", 'Limit judicial oversight and increase parliamentary power']","Strongly ideological, distrustful of left-wing institutions, and willing to use aggressive rhetoric to promote a nationalist, free-market agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,7,"['Advocating for military action against Hezbollah', 'Criticizing the economic policies of the government', 'Promoting free-market economics and reduced government']","['The Movement for Quality Government', 'Haaretz newspaper', 'The Israeli security establishment']","['Amiad Cohen', 'The Kohelet Forum', 'Argentinian Defense Minister Luis Patri']",70,"['לכבוש את כל השטח עד הליטאני, ולהודיע שאנחנו נשארים שם עד שחיזבאללה מפורק מנשקו.', 'אין אף מפלגה בכנסת שדוגלת בערכים של שוק חופשי']","['angry', 'cynical']","['Defeat Hezbollah militarily', 'Promote free-market economics in Israel', ""Establish a 'Pax Israelina' in the Middle East""]","Strongly ideological, favoring a hawkish military approach and free-market economics, critical of the political establishment and security services.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,8,"['Criticizing Israeli media bias', ""Defending Kohelet Forum's judicial reform"", 'Predicting instability in Middle East']","['Avishay Braverman', 'Israeli media', 'Supreme Court', 'Naftali Bennett']","['Kohelet Forum', 'Amiad Cohen', 'Mark Levin']",75,"['האירוע הוא פוליטי וכלל לא משפטי. למרות ניגוד ענינים מהותי כל כך, וללא סמכות בכלל, הרשות השופטת מנסה לכפות את רצונה הפוליטי על שתי הרשויות האחרות.', 'הטענה שהסכמי השלום עם מצרים וירדן הם הוכחה לאסטרטגיית ההסכמים לא מחזיקה מים.']","['cynical', 'fearful']","[""Strengthen Knesset's oversight of executive branch"", 'Prepare IDF for potential regional instability']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,9,"['Criticizing judicial oversight and supporting parliamentary power', 'Advocating for free-market economics and reduced regulation', 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Benny Gantz', 'Yair Lapid', 'Israeli media', 'Labor unions']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Kohelet Forum']",75,"['תומך שלטון המיעוט היוריסטיקרטי מנסה להגדיר מי יכול להחליט לצאת למלחמה . אז בדמוקרטיה, כמו שאנשים ליברלים מגדירים, יש רק סוג אחד של אנשים שיכול להחליט לצאת למלחמה - נבחרי ציבור. הבעיה שרהב לא אוהב את שמחה, ואת הציבור ששמחה מייצג, אז כאנטי דמוקרט מצוי, הוא מבטל את הלגיטימיות של נציגי ציבור שהוא לא מסכים איתם. בושה וחרפה', 'למה זה טרגדיה? הדבר היחיד שהוציא אנשים מעוני זה שוק חופשי. הדבר היחיד שמוביל לצמיחה זה מנגנוני הגנה לקניין הפרט הדבר היחיד שמאפשר מערכת חינוך טובה, זאת מערכת חינוך חופשית המנגנון היחיד שמאפשר מוביליות חברתית אלה חוקי עבודה גמישים ומריטוקראטים מרכיב קריטי שמאפשר יזמות זה העדר רגולציה מי שרוצה שאנשים יחיו בעוני מחזיק אותם קצר על תשלומי רווחה ממשלתיים ומונע מהם להתקדם בעבודה עם מנגנוני קביעות ומונע מאחרים להכנס לשוק העבודה עם גילדות.']","['cynical', 'angry']","['Reducing judicial oversight and strengthening parliamentary power', 'Promoting free-market economics and privatization', 'Opposing labor unions and increasing economic deregulation']","Strongly ideological, with a focus on promoting a free-market, anti-regulatory agenda and reducing the power of the judiciary in favor of the legislative branch.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
