username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international
AmiadCohen,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'Labor unions', 'Judicial oversight']","['Benjamin Netanyahu', 'Yariv Levin', 'Religious Zionism Party']",70,"['אם תהיתם לעצמכם איך נשמעו הקולות הראשונים של מהפכת התרבות של מאו דזה דונג ב1966, אז ככה...', 'הוא שלם עם זה שלנבחרי ציבור לא יהיה כח.']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, with a focus on reducing government regulation and oversight in favor of free-market policies and strengthening Israel's Jewish identity.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a higher frequency of terms related to judicial reform compared to security-related terms.', 'score': 70}","{'analysis': 'The majority of the tweets focus on judicial reform and economic issues, with less emphasis on national security topics.', 'score': 30}","{'analysis': 'The tweets express a clear opposition to strong government oversight and a desire to reduce judicial power in favor of greater parliamentary control.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, suggesting a shift towards emphasizing security and national interests over civil liberties.', 'score': 6}","{'analysis': 'The tweets do not make any direct references to international law, suggesting a focus on domestic policy and a potential disregard for international legal frameworks.', 'score': -50}","{'analysis': 'The tweets do not discuss defense spending or military issues, indicating a lack of focus on national security matters.', 'score': 2}","{'analysis': 'The tweets express a desire to reduce judicial oversight and strengthen parliamentary power, which could suggest a willingness to grant the executive branch more emergency powers.', 'score': 3}","{'analysis': 'The tweets overwhelmingly focus on judicial reform, with little to no mention of security-related reforms, indicating a clear prioritization of the former over the latter.', 'score': 90}","{'analysis': 'The tweets do not directly address civil liberties or emergency restrictions, but the overall tone suggests a willingness to limit individual rights in the name of the collective Jewish identity and reduced judicial oversight.', 'score': 7}","{'analysis': 'The tweets primarily concentrate on domestic policy issues, such as judicial reform and economic policies, with little to no discussion of international relations or foreign policy matters.', 'score': 80}"
AmiadCohen,1,"['Promoting judicial reform to reduce government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Aaron Barak', 'Gali Baharav-Miara', 'Kohelet Forum']","['Amiad Cohen', 'Simcha Rothman', 'Yariv Levin']",75,"['מאחורי הפילפולים המשפטיים של גלי בהרב מיארה, התומכת בביטול חוק יסוד, מסתתר מסר ברוטאלי לאזרחי ישראל: הדמוקרטיה שלכם סיימה את תפקידה', 'היום, שופטים שלא נבחרו על ידי הציבור, הולכים לדון, האם פקידה, שלא נבחרה על ידי הציבור, יכולה לפטר באופן שרירותי ראש ממשלה, שכן נבחר על ידי הציבור. וכל זה בקריאות רקע קצובות ואחידות של דמו-קרט-יה. אפילו גורג אורוול לא הצליח להמציא את זה']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","The user exhibits a strong ideological stance in favor of reducing government regulation, limiting judicial oversight, and strengthening Israel's Jewish national identity, often expressed in a cynical and frustrated tone.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a clear emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The majority of the policy posts focus on judicial and economic issues, with a significant emphasis on promoting free-market economics and privatization, rather than national security concerns.', 'score': 70}","{'analysis': 'The tone towards government oversight, particularly the judiciary, is highly critical, with a clear desire to reduce its influence and increase parliamentary power.', 'score': 8}","{'analysis': 'The tweets demonstrate a shift in emphasis from individual rights towards the collective interests of the Jewish nation-state, with a focus on reducing judicial oversight and strengthening the power of the legislative branch.', 'score': 6}","{'analysis': 'There are no direct references to international law in the tweets, suggesting a focus on domestic legal and political issues rather than international considerations.', 'score': 0}","{'analysis': 'The tweets do not directly address defense spending or military issues, indicating a greater focus on judicial and economic reforms rather than national security priorities.', 'score': 3}","{'analysis': 'The tweets express a desire to limit the power of the judiciary and strengthen the role of the legislative branch, suggesting a shift towards increased executive power and reduced checks and balances.', 'score': 4}","{'analysis': 'The tweets overwhelmingly focus on judicial reform, with little to no mention of security-related issues, indicating a clear priority on reshaping the legal and political system over national security concerns.', 'score': 90}","{'analysis': 'The tweets do not directly address the issue of civil liberties during emergency situations, suggesting a lack of explicit discussion on balancing individual rights and collective security.', 'score': 5}","{'analysis': 'The tweets concentrate almost exclusively on domestic political and legal issues, with no significant references to international relations or foreign policy, indicating a strong focus on internal Israeli affairs.', 'score': 90}"
AmiadCohen,2,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Supreme Court', 'Labor unions', 'Government regulation']","['Kohelet Forum', 'Gideon Saar', 'Judicial reform']",75,"['הלוואי וצה', 'ץ. אולי חיזבאללה לא היה עושה בשטח ישראל מה בראש שלו.', 'אם הם מדברים כמו פשסטים עם סמלים של פשיסטים ורק להם מותר לדבר, כמו אצל פשיסטים אז מה זה אומר עליהם?']","['cynical', 'angry']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of government institutions, and willing to use inflammatory rhetoric to advance their agenda","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a heavy emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The majority of the posts focus on judicial and economic issues, with less emphasis on national security concerns.', 'score': 70}","{'analysis': 'The tone towards government oversight is highly critical, with a clear desire to reduce the power and influence of the judiciary and other oversight bodies.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights and liberties, suggesting a shift towards a more nationalist and authoritarian approach.', 'score': 7}","{'analysis': 'There are no direct references to international law in the tweets, indicating a focus on domestic policy and a potential disregard for international norms and standards.', 'score': -80}","{'analysis': 'The tweets do not discuss defense spending or military issues, suggesting that economic and judicial reforms are the primary focus of the Kohelet Forum.', 'score': 3}","{'analysis': ""The tweets express support for reducing judicial oversight and strengthening parliamentary power, which could be interpreted as a desire to increase the executive branch's authority."", 'score': 3}","{'analysis': 'The tweets overwhelmingly focus on judicial reform and reducing judicial oversight, with little to no mention of security-related issues.', 'score': 90}","{'analysis': 'The tweets do not directly address the issue of civil liberties during emergency situations, but the overall tone suggests a willingness to prioritize national identity and security over individual rights.', 'score': 7}","{'analysis': 'The tweets are entirely focused on domestic Israeli politics and policy, with no references to international relations or foreign policy concerns.', 'score': 100}"
AmiadCohen,3,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Yair Lapid', 'Benny Gantz', 'Kohelet Forum']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",70,"['אתם מריחים את זה? עשן הצמיגים.. ובכן, ככה מריח ייאוש. זה ריחה של מחאה מצטמקת ונרקבת שראשיה המופקרים מחליפים כמות באלימות ב…', 'מעניין מה דעתו על מינוי פרקליטה עם ניסיון של סג']","['angry', 'cynical']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","Highly critical of perceived political opponents, with a focus on advancing a nationalist, free-market agenda and reducing government regulation and judicial oversight.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a greater emphasis on judicial reform than security-related issues, indicating a focus on consolidating political power and reducing checks on the government.', 'score': 80}","{'analysis': 'The majority of the posts focus on judicial and economic issues, with limited discussion of national security concerns, suggesting a priority on domestic policy over international affairs.', 'score': 70}","{'analysis': 'The tweets express a clear disdain for government oversight and a desire to reduce the influence of the judiciary, indicating a shift towards greater executive power and reduced checks on the government.', 'score': 8}","{'analysis': ""The emphasis on promoting Israel's identity as a Jewish nation-state and reducing judicial oversight suggests a greater focus on collective security and national interests over individual rights and liberties."", 'score': 6}","{'analysis': 'The tweets do not contain any references to international law, indicating a lack of consideration for global norms and institutions in the political agenda being promoted.', 'score': -80}","{'analysis': 'The tweets do not discuss defense spending or military issues, suggesting that economic and judicial reforms are the primary focus rather than national security concerns.', 'score': 3}","{'analysis': 'The tweets express a desire to reduce judicial oversight and strengthen parliamentary power, which could indicate a shift towards greater executive authority and a concentration of power in the hands of the government.', 'score': 4}","{'analysis': 'The tweets overwhelmingly focus on judicial reform and reducing the influence of the judiciary, with little to no discussion of security-related issues, suggesting that judicial reform is the top priority over security concerns.', 'score': 90}","{'analysis': 'The tweets do not address the issue of civil liberties or emergency powers, indicating a lack of consideration for the potential impact of the proposed reforms on individual rights and freedoms.', 'score': 6}","{'analysis': 'The tweets concentrate on domestic political and economic issues, with no references to international relations or foreign policy, suggesting a narrow focus on internal affairs and a lack of engagement with the broader global context.', 'score': 90}"
AmiadCohen,4,"['Advocating for reduced judicial oversight and stronger parliamentary power', ""Promoting Israel's identity as a Jewish nation-state"", 'Opposing labor unions and supporting privatization']","['Benny Gantz', 'Yair Lapid', 'Supreme Court']","['Simcha Rothman', 'Yariv Levin', 'Kohelet Forum']",75,"['אתה מניח שהחרדים יראו אותו דבר. אני כופר בהנחה הזאת', 'האמירות האלה נוראיות. אני כן מנסה להשפיע על מה אתם חושבים כי אני מאמין בשיח וברעיונות, אבל כל זה לא קשור לרפורמה']","['cynical', 'frustrated']","[""Promoting Israel's Jewish identity"", 'Reducing judicial oversight and increasing parliamentary power']","Strongly ideological, resistant to opposing views, and willing to use aggressive rhetoric to defend their positions","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a higher frequency of terms related to the judicial system and parliamentary power.', 'score': 80}","{'analysis': 'The majority of the posts are focused on judicial and political issues, with less emphasis on economic policies or national security concerns.', 'score': 30}","{'analysis': 'The tone towards government oversight, particularly the judiciary, is highly critical and advocates for reducing its influence in favor of increased parliamentary power.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, with a strong emphasis on reducing judicial oversight and increasing parliamentary control.', 'score': 7}","{'analysis': 'There are no direct references to international law in the tweets, suggesting a focus on domestic political and judicial issues rather than international considerations.', 'score': 0}","{'analysis': 'The tweets do not mention defense spending or military issues, indicating a lack of focus on national security and a prioritization of judicial and political reforms.', 'score': 2}","{'analysis': 'The tweets advocate for reducing judicial oversight and increasing parliamentary power, which suggests a desire to shift power away from the executive branch and towards the legislative branch.', 'score': -3}","{'analysis': 'The tweets are heavily focused on judicial reform and reducing the influence of the judiciary, with no mention of security-related issues, indicating a clear prioritization of judicial reform over security concerns.', 'score': 90}","{'analysis': 'The tweets do not discuss emergency powers or restrictions on civil liberties, suggesting a lack of focus on these issues in the context of the judicial reform agenda.', 'score': 3}","{'analysis': 'The tweets are entirely focused on domestic political and judicial issues, with no mention of international relations or foreign policy, indicating a strong emphasis on domestic affairs.', 'score': 100}"
AmiadCohen,5,"['Promoting parliamentary power over judicial oversight', 'Advocating for free-market economics and reduced regulation', ""Defending Israel's identity as a Jewish nation-state""]","['Benny Gantz', 'Yair Lapid', 'Supreme Court', 'Attorney General']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"['אני מבין שאדוני לא דמוקרט, ומאמין בשלטון סמכותני של מיעוט אליטיסטי על המון נבער?', 'וואו, האמת המרה על שיטת שלטון פרלמנטרית שבה ללשונות מאזניים יש כח. אין הבדל בין קידום תכנים פרוגרסיבים לתכנים דתיים. ברגע שהממשלה מחנכת היא תכניס את הערכים שלה ולכן צריך להפריט .']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of democratic institutions, and prioritizing a nationalist, free-market agenda over individual rights and civil liberties.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related terms, indicating a stronger emphasis on the former.', 'score': 70}","{'analysis': 'The majority of policy posts appear to be focused on economic and judicial issues, with less emphasis on national security.', 'score': 30}","{'analysis': 'The tone towards government oversight is highly critical, with a desire to reduce judicial and bureaucratic oversight in favor of increased parliamentary power.', 'score': 8}","{'analysis': 'The tweets prioritize collective security and national identity over individual rights and civil liberties.', 'score': 7}","{'analysis': ""There are limited references to international law, with a focus on promoting Israel's sovereignty and independence."", 'score': -20}","{'analysis': 'The tweets do not indicate a clear position on defense spending, with the focus being more on economic and judicial reforms.', 'score': 3}","{'analysis': 'The tweets suggest a desire to increase executive power and reduce checks and balances, particularly in the judicial branch.', 'score': 3}","{'analysis': 'The tweets prioritize judicial reform over security-related issues, with a strong emphasis on reducing judicial oversight.', 'score': 80}","{'analysis': 'The tweets do not directly address civil liberties during emergency situations, but the overall tone suggests a willingness to restrict individual rights in the name of national security.', 'score': 7}","{'analysis': 'The tweets focus primarily on domestic policy issues, with limited discussion of international relations or foreign policy.', 'score': 20}"
ptr_dvd,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'International law professors', 'Left-wing activists in Tel Aviv']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"[""בורות וניתוק היסטורי מזוקקים כמו יהלום לציוץ. הרי היהודים היו שוב ושוב ושוב במצבים קשים לאין שיעור במשך קרוב לאלפיים שנה. ולא ראינו צמיחה של תרבות טרור וצימאון לדמם של חפים מפשע. פרופ' למשפט בין לאומי בלי הקשר היסטורי או פרספקטיבה. בעצם האמת שזה מאוד מתאים לאנשי משפט בין לאומי."", ""לא הבנתי איך השמאל התל-אביבי שנהנה לזהות קרינג' בכל דבר לא זע באי נוחות לאור המראות הללו. קרינג' הקרינג'ים.""]","['cynical', 'angry']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","The user exhibits a strong ideological stance in favor of the Kohelet Forum's agenda, which includes reducing government regulation, promoting free-market economics, and limiting judicial oversight. They are highly critical of those they perceive as opposing this agenda, particularly international law professors and left-wing activists.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a greater emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The majority of policy posts focus on judicial reform and economic issues, with less emphasis on national security concerns.', 'score': 70}","{'analysis': 'The tone towards government oversight, particularly the judiciary, becomes increasingly critical, with a push to reduce its influence and empower the legislative branch.', 'score': 8}","{'analysis': 'There is a clear shift in emphasis from individual rights towards prioritizing the collective identity of Israel as a Jewish nation-state, with less concern for the rights of minority groups.', 'score': 6}","{'analysis': ""References to international law are highly critical, portraying it as disconnected from historical context and unsuitable for Israel's needs."", 'score': -80}","{'analysis': 'The tweets do not directly address defense spending, but the overall focus on economic reforms and reducing government regulation suggests a lower priority on defense spending compared to other policy areas.', 'score': 3}","{'analysis': ""The tweets express support for strengthening the legislative branch's power relative to the judiciary, but do not directly address changes to executive branch powers."", 'score': 2}","{'analysis': 'Judicial reform is the clear priority, with significantly more emphasis on reducing judicial oversight than addressing security concerns.', 'score': 90}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergency situations.', 'score': 5}","{'analysis': 'The focus is predominantly on domestic policy issues, particularly judicial reform and economic matters, with less emphasis on international relations.', 'score': 70}"
ptr_dvd,1,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', 'Defending the Jewish nation-state identity of Israel']","['Kohelet Forum', 'Aharon Barak', 'Judicial Activism']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['כדאי להבחין שכשהם אומרים עצמאות הם מתכוונים השתחררות מהחוק', ""כל הברברת על קיומו של אלוהים, אתאיזם, דטרמיניזם, חירות, החברה האנושית, מוות וכו', אלו רק כלים על לוח השחמט שנקרא שפה. והם מהנים רק אם אדם לא מעסיק עצמו בניצחון או הפסד""]","['cynical', 'frustrated']","[""Promote Israel's Jewish nation-state identity"", 'Reduce judicial oversight and increase parliamentary power']","The user exhibits a strong ideological stance in favor of reducing government regulation, promoting free-market economics, and limiting judicial oversight, while defending Israel's Jewish national identity.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}","{'analysis': 'No analysis available', 'score': 0}"
ptr_dvd,2,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government regulation', 'Supporting judicial reform and parliamentary power']","['Kohelet Forum', 'Judicial system', 'Labor unions']","['Knesset', 'Parliamentary democracy', 'Free market economics']",70,"['הסיפור הכי עצוב של התקופה הזו זה נירמול השנאה', 'אבל למה הוא נכנס לי לחדר המיטות?']","['cynical', 'frustrated']","['Strengthen parliamentary power', 'Reduce judicial oversight', 'Promote free market economics']","Strongly ideological, distrustful of the judicial system and supportive of reducing its influence in favor of greater parliamentary control and free market policies.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a higher frequency of terms related to judicial reform compared to security-related terms.', 'score': 70}","{'analysis': 'The majority of policy-focused posts appear to be on judicial reform and economic issues, with less emphasis on national security topics.', 'score': 60}","{'analysis': 'The tone towards government oversight, particularly of the judiciary, is increasingly critical and seeks to reduce its influence.', 'score': 8}","{'analysis': 'There is a clear shift in emphasis from individual rights towards prioritizing collective security and the power of the parliamentary majority.', 'score': 6}","{'analysis': 'References to international law and norms are minimal, with a focus on domestic political and judicial reforms.', 'score': -60}","{'analysis': 'The tweets do not indicate a clear position on defense spending, with the focus remaining on economic and judicial issues.', 'score': 4}","{'analysis': 'The tweets suggest an openness to expanding executive branch powers, particularly in relation to the judiciary, during times of political conflict.', 'score': 3}","{'analysis': 'Judicial reform appears to be the primary focus, with security issues taking a backseat in the discourse.', 'score': 80}","{'analysis': 'There are indications of a willingness to restrict civil liberties, such as the right to protest, in the name of political stability and the reform agenda.', 'score': 7}","{'analysis': 'The tweets concentrate almost exclusively on domestic political and judicial issues, with little to no discussion of international relations or foreign policy.', 'score': 90}"
ptr_dvd,3,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending the Israeli government's policies and actions""]","['Kohelet Forum', 'Yair Lapid', 'Judicial system']","['Simcha Rothman', 'Yariv Levin', 'Benjamin Netanyahu']",75,"['מדווחים על מפגין שאיים בהנחת מטען חבלה בסניף של הרבנות. ההסתה כבר הובילה ב2020 אדם בשם ציון כהן, חבר קיבוץ מרום גולן, להניח מטעני חבלה בסניפים של הרבנות. כמה מכם מכירים את הסיפור על הטרוריסט המקומי הזה? התקשורת בחרה למסגר את העניין כקוריוז בעמודים האחוריים. זה לא היה מספיק חשוב.', 'בהונגרית אומרים ', '. זה תמיד צילצל לי חמוד מדי ביחס למה שזה. עכשיו אני מבין שזה מתאים בול. זה פשוט נורא קוסם לאנשים.']","['cynical', 'angry']","['Promote free-market economics and privatization', 'Reduce judicial oversight and increase parliamentary power']","The user exhibits a strong ideological bias in favor of the Kohelet Forum's agenda, which includes reducing government regulation, weakening the judiciary, and promoting Israel's identity as a Jewish nation-state. They are highly critical of opposing views and use aggressive, cynical language to defend their positions.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': ""The user frequently references security-related terms, but the majority of their posts focus on judicial reform and reducing government oversight. This suggests a greater emphasis on the Kohelet Forum's policy agenda than on national security concerns."", 'score': 70}","{'analysis': ""A significant portion of the user's posts are dedicated to economic policy issues, such as free-market economics and privatization, rather than national security. This indicates a stronger focus on the Kohelet Forum's economic agenda than on security matters."", 'score': 80}","{'analysis': ""The user's tone towards government oversight becomes increasingly hostile, with calls to reduce the judiciary's power and increase parliamentary control. This suggests a shift towards a more authoritarian approach to governance."", 'score': 8}","{'analysis': ""The user's emphasis appears to be on promoting the collective interests of the Kohelet Forum's agenda, such as strengthening Israel's Jewish identity, over individual rights and liberties. This indicates a prioritization of group-based security over individual freedoms."", 'score': 6}","{'analysis': 'The user makes limited references to international law, suggesting a focus on domestic policy and a disregard for the constraints of international legal frameworks.', 'score': -20}","{'analysis': 'The user does not explicitly discuss changes in defense spending, but their advocacy for free-market economics and reduced government regulation implies a potential shift towards lower prioritization of defense budgets.', 'score': 4}","{'analysis': ""The user's support for reducing judicial oversight and increasing parliamentary power suggests a willingness to grant the executive branch more authority, potentially at the expense of checks and balances."", 'score': 3}","{'analysis': ""The user's posts overwhelmingly focus on judicial reform and reducing the judiciary's influence, with little emphasis on security-related issues. This indicates that the Kohelet Forum's agenda is primarily centered on reshaping the legal and political system, rather than addressing security concerns."", 'score': 90}","{'analysis': 'The user does not directly address the issue of civil liberties during emergency situations, but their support for reducing judicial oversight and increasing executive power implies a potential willingness to accept greater restrictions on individual freedoms in the name of security.', 'score': 7}","{'analysis': ""The user's posts are primarily focused on domestic policy issues, such as judicial reform and economic policy, with limited references to international relations. This suggests a greater emphasis on the Kohelet Forum's domestic agenda than on Israel's global positioning."", 'score': 80}"
