username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation,security_themes,policy_themes,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international
ptr_dvd,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['International law experts', 'Tel Aviv left-wing', 'Labor unions', 'Judicial oversight', 'Government regulation']","['Kohelet Forum', 'Knesset', 'Parliamentary power', 'Educational autonomy', 'Privatization']",75.0,"[""בורות וניתוק היסטורי מזוקקים כמו יהלום לציוץ. הרי היהודים היו שוב ושוב ושוב במצבים קשים לאין שיעור במשך קרוב לאלפיים שנה. ולא ראינו צמיחה של תרבות טרור וצימאון לדמם של חפים מפשע. פרופ' למשפט בין לאומי בלי הקשר היסטורי או פרספקטיבה. בעצם האמת שזה מאוד מתאים לאנשי משפט בין לאומי."", ""לא הבנתי איך השמאל התל-אביבי שנהנה לזהות קרינג' בכל דבר לא זע באי נוחות לאור המראות הללו. קרינג' הקרינג'ים.""]","['cynical', 'angry']","[""Promoting Israel's Jewish national identity"", 'Reducing judicial oversight and increasing parliamentary power', 'Advocating for free-market economics and privatization']","The user exhibits a strong ideological stance in favor of the Kohelet Forum's agenda, which includes reducing government regulation, promoting Israel's Jewish national identity, and limiting judicial oversight. The tone is often cynical and angry towards perceived opponents of this agenda, such as international law experts and the","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
ptr_dvd,1,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
ptr_dvd,2,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['military operations', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']","{'analysis': 'The tweets focus more on judicial reform than security-related issues.', 'score': '30'}","{'analysis': 'The tweets place a greater emphasis on economic policy than national security.', 'score': '70'}","{'analysis': 'The tweets express a strong opposition to government oversight and a desire to reduce it.', 'score': '8'}","{'analysis': 'The tweets prioritize collective security and national identity over individual rights.', 'score': '7'}","{'analysis': 'The tweets do not make significant references to international law.', 'score': '20'}","{'analysis': 'The tweets do not discuss defense spending or budget priorities.', 'score': '3'}","{'analysis': 'The tweets express support for increased executive powers and reduced checks on the government.', 'score': '4'}","{'analysis': 'The tweets place a much greater emphasis on judicial reform than security-related issues.', 'score': '80'}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergencies.', 'score': '5'}","{'analysis': 'The tweets focus primarily on domestic policy issues, with limited discussion of international relations.', 'score': '80'}"
ptr_dvd,3,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', 'Defending the Jewish nation-state identity of Israel']","['Kohelet Forum', 'Dina Zilber', 'Judicial system']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75.0,"['מדווחים על מפגין שאיים בהנחת מטען חבלה בסניף של הרבנות. ההסתה כבר הובילה ב2020 אדם בשם ציון כהן, חבר קיבוץ מרום גולן, להניח מטעני חבלה בסניפים של הרבנות. כמה מכם מכירים את הסיפור על הטרוריסט המקומי הזה? התקשורת בחרה למסגר את העניין כקוריוז בעמודים האחוריים. זה לא היה מספיק חשוב.', 'בהונגרית אומרים ', '. זה תמיד צילצל לי חמוד מדי ביחס למה שזה. עכשיו אני מבין שזה מתאים בול. זה פשוט נורא קוסם לאנשים.']","['cynical', 'angry']","[""Promote Israel's Jewish nation-state identity"", 'Reduce judicial oversight and increase parliamentary power']","The user exhibits a strong ideological bias in favor of the Kohelet Forum's agenda, which includes reducing government regulation, weakening the judiciary, and promoting Israel's Jewish national identity. They are highly critical of opposing views and use inflammatory language, suggesting an adversarial and confrontational mindset.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"['counter-terrorism', 'border security']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
ptr_dvd,4,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
ptr_dvd,5,"['Criticizing the establishment of the state of Israel', 'Opposing judicial oversight and supporting parliamentary power', 'Attacking lack of understanding of political systems']","['Esther Hayut', 'Kohelet Forum']","['Simcha Rothman', 'Yariv Levin']",80.0,"['- לא בשביל זה ההורים שלי הקימו את המדינה - זו דיקטטורה! אבל ההורים שלך הקימו מדינה שהמשיכה את המודל הבריטי בלי חוקה, בלי משקל מחייב ליועמ', ',\n        ', 'כי של החלת נורמות על המלוכה והדחף הילדותי לומר ', 'ך']","['angry', 'cynical']","['Reduce judicial oversight and increase parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","The user appears to be a strong supporter of the Kohelet Forum's agenda, which includes reducing judicial oversight, increasing parliamentary power, and promoting Israel's identity as a Jewish nation-state. The user is highly critical of those who oppose these goals, using aggressive and cynical language to attack them.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
SagiBarmak,0,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['military operations', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']","{'analysis': 'The tweets focus more on judicial reform than security-related issues, indicating a stronger emphasis on domestic policy changes than national security.', 'score': '70'}","{'analysis': 'The tweets cover a mix of security and economic/judicial policy issues, with a slightly greater focus on the latter.', 'score': '60'}","{'analysis': 'The tweets express a clear desire to reduce government oversight and judicial power, favoring increased parliamentary control.', 'score': '8'}","{'analysis': 'The tweets prioritize collective security and national identity over individual rights, reflecting a shift towards a more authoritarian approach.', 'score': '7'}","{'analysis': 'The tweets make limited references to international law, focusing more on domestic policy changes.', 'score': '20'}","{'analysis': ""The tweets do not directly address defense spending, suggesting it is not a top priority in the forum's agenda."", 'score': '4'}","{'analysis': 'The tweets express support for reducing judicial oversight and increasing parliamentary power, which could lead to a concentration of executive authority.', 'score': '4'}","{'analysis': ""The tweets place a much stronger emphasis on judicial reform than security-related issues, indicating that the forum's primary focus is on domestic policy changes."", 'score': '80'}","{'analysis': 'The tweets do not directly address changes in attitude towards civil liberties during emergency situations.', 'score': '3'}","{'analysis': 'The tweets concentrate on domestic policy issues, with limited references to international relations or foreign policy.', 'score': '80'}"
SagiBarmak,1,"['Advocating for reduced judicial oversight and stronger parliamentary power', ""Promoting Israel's identity as a Jewish nation-state"", 'Opposing labor unions and supporting privatization']","['Kohelet Forum', 'Yitzhak Zamir', 'Tel Aviv University President']","['Knesset', 'Sagi Barmak']",75.0,"['אין חוק, יש \\', ' (שיצחק זמיר ודומיו אמונים כמובן על פירושם). יש \\', "", בז'ורנלים אקדמיים (שבהם יצחק זמיר ודומיו מצטטים האחד את השני). הכל יש, חוץ מהסכמה והסמכה דמוקרטית מפורשת שניתנה על ידי הציבור. על זה נאמר- והעם היכן?"", 'מה שחשוב לי במיוחד להדגיש זה שניתן פשוט לקחת את הטיעון של ברק ולסובב אותו. ככה זה יוצא במקרה שכזה:']","['cynical', 'frustrated']","[""Promoting Israel's identity as a Jewish nation-state"", 'Advocating for reduced judicial oversight and stronger parliamentary power']","Highly critical of the judiciary and academic establishment, advocating for a shift of power towards the legislative branch and a more nationalistic, free-market agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,['border security'],"['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
SagiBarmak,2,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
SagiBarmak,3,,,,,,,,,"{'security_metrics_confidence': 80, 'pattern_consistency': 85, 'overall_confidence': 85}",Analysis based on consistent patterns in the tweet data.,"['border security', 'counter-terrorism']","['judicial reform', 'economic policy', 'civil rights']",,,,,,,,,,
