username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation
AmiadCohen,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', 'Criticizing the political establishment and media bias']","['Kohelet Forum', 'Haredi politicians', 'Prosecution and legal system', 'Left-wing and liberal media', 'Benjamin Netanyahu']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Right-wing politicians']",70,"['מה שיפה אצל פינק זאת אמונה עמוקה בחזקת החפות של מחבלים, אבל גם אחרי ההתנהלות הביזיונית של הפרקליטות, הוא מרשיע מראש את ראש ממשלת ישראל. בדיחה', 'הם חושבים שנתניהו יפליל את עצמו? הרי מילצין כבר מעיד עכשיו.. עדיין לא ברור לי']","['cynical', 'frustrated']","['Reduce judicial oversight and increase parliamentary power', 'Promote free-market economics and privatization', 'Defend right-wing politicians and policies']","Highly critical of the political establishment, legal system, and media, with a strong ideological commitment to right-wing, free-market policies and reduced government intervention.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,1,"['Promoting judicial reform and reduced government', ""Defending Israel's Jewish national identity"", 'Criticizing left-wing and judicial overreach']","['Benny Gantz', 'Kohelet Forum', 'Left-wing media and academia']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['אם הם מדברים כמו פשסטים עם סמלים של פשיסטים ורק להם מותר לדבר, כמו אצל פשיסטים אז מה זה אומר עליהם?', 'מעניין מאד מה חשבו האבות המיסדים של ארה']","['cynical', 'angry']","['Reduce judicial oversight and empower parliament', ""Promote Israel's Jewish national identity""]","Strongly ideological, perceiving political opponents as threats to democracy and national identity.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,2,"['Criticizing judicial activism and defending democracy', 'Advocating for free-market economics and reduced government', 'Opposing labor unions and supporting privatization']","['Benny Gantz', 'The Supreme Court', 'The left wing']","['Benjamin Netanyahu', 'Kohelet Forum', 'The government']",70,"['מועצת החכמים העליונה תדון האם תוצאות הבחירות ראויות בעיניהם דמוקרטיה אומרים לכם...', 'אמרה וכתבה בשכנוע עצמי רב. מכיון שאני לא מדבר עם \\', ' אלה מדבר עם השטח החרדי, נראה לי שאני כן יודע על מה אני מדבר.']","['cynical', 'frustrated']","['Reducing judicial oversight and strengthening parliamentary power', ""Promoting Israel's identity as a Jewish nation-state""]","Strongly ideological, dismissive of opposing views, and convinced of the rightness of their position.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,3,"['Criticizing the Israeli judiciary', 'Advocating for reduced government control', ""Promoting Israel's Jewish identity""]","['Aharon Barak', 'Israeli Supreme Court', 'Kohelet Forum']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",70,"['היום, שופטים שלא נבחרו על ידי הציבור, הולכים לדון, האם פקידה, שלא נבחרה על ידי הציבור, יכולה לפטר באופן שרירותי ראש ממשלה, שכן נבחר על ידי הציבור. וכל זה בקריאות רקע קצובות ואחידות של דמו-קרט-יה. אפילו גורג אורוול לא הצליח להמציא את זה', 'אולי רונן צור יואיל בטובו להצביע על הסעיף בחוק הישראלי המאפשר לבית המשפט העליון לפסול חוק יסוד?']","['cynical', 'frustrated']","['Reduce judicial oversight and increase parliamentary power', ""Promote Israel's Jewish identity and reduce government control""]",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,4,"['Promoting judicial reform and reduced oversight', 'Advocating for free-market economics and privatization', 'Opposing labor unions and government control']","['Kohelet Forum', 'Aharon Barak', 'Labor unions']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",75,"['מסתבר שמיראלשווילי מסייע כספית לעובדים קשי יום כדי שיוכלו לנוח ביום המנוחה החוקי של מדינת ישראל, ולבלות עם הילדים שלהם ובחיק משפחתם. ראוי', 'ברייטמן יודע שהוא לא שכנע אף אחד ללמוד ליבה בציוץ הזה. אבל כשהאישי הוא הפוליטי, אין צלם אנוש, אין בני אדם. ובשם האידאולוגיה המופשטת שלו הוא מרגיש חובה להשפיל מישהו, כדי שהחרדים האלה ילמדו לקח. בחילה']","['cynical', 'angry']","['Reduce judicial oversight and increase parliamentary power', 'Promote free-market economics and privatization']","Strongly ideological, views political opponents as adversaries to be defeated rather than citizens to be represented.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
AmiadCohen,5,"[""Promoting Israel's Jewish identity"", 'Advocating for reduced government control', 'Criticizing political opponents']","['Kohelet Forum', 'Hadas Shtaif', 'Kobe Shabtai']","['Amiad Cohen', 'Gil Bringer']",70,"['אני לא מבין, מה הלקחים שלהם ממלחמת אוקראינה? במקומם הייתי קונה מלאאאאאאא פגזי ארטילריה מדויקים', 'מצד אחד ממשלת ', ' סוציאליסטית, מצד שני ממשלת שמאל פרוגרסיבי סוציאליסטי. 😭']","['cynical', 'frustrated']","[""Promoting Israel's Jewish identity"", 'Advocating for reduced government control']","Highly critical of political opponents, particularly those seen as deviating from the Kohelet Forum's ideological positions.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,0,"['Opposing judicial oversight and supporting parliamentary power', ""Promoting Israel's Jewish nation-state identity"", 'Advocating for free-market economics and reduced regulation']","['Kohelet Forum', 'Activists', 'Left-wing politicians']","['Benjamin Netanyahu', 'Yariv Levin', 'Religious Zionism Party']",75,"['דרך רשעים צלחה אמר ירמיהו. אין שום יכולת לסמוך על ניצחון האמת, הטוב או הצדק. לכן על היהודים להיות חמושים.', 'הבנאדם היה פה מפכ']","['angry', 'cynical']","['Reduce judicial oversight and empower parliament', ""Promote Israel's Jewish national identity""]","Strongly ideological, distrustful of the left and the judiciary, and willing to use aggressive rhetoric to defend their political agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,1,"['Promoting parliamentary democracy over judicial oversight', 'Criticizing left-wing views and policies', ""Defending the Kohelet Forum's judicial reform agenda""]","['Bernie Sanders', 'Dina Zilber', 'The left-wing media']","['Simcha Rothman', 'Yariv Levin', 'Kohelet Forum']",70,"['השמאל הטוטליטרי רוצה להדיח שופטים שהוא לא אוהב את פסיקותיהם.', 'לא סומך על אנשים עם טי-שירט במכנסיים']","['angry', 'cynical']","['Promote parliamentary democracy over judicial oversight', ""Defend the Kohelet Forum's judicial reform agenda""]","The user exhibits a strong ideological bias in favor of the Kohelet Forum's agenda, with a tendency to attack left-wing figures and views in a hostile and cynical manner.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,2,"['Promoting judicial reform and reduced oversight', 'Defending parliamentary power over judiciary', ""Criticizing 'leftist' opposition to reforms""]","['Kohelet Forum', 'Supreme Court', 'Leftist activists']","['Knesset', 'Netanyahu government', 'Religious Zionism Party']",70,"['לא בשביל זה ההורים שלי הקימו את המדינה - זו דיקטטורה!', 'מה היה לפני שהתפתחה עילת הסבירות הרחבה?']","['angry', 'cynical']","['Reduce judicial oversight of legislation', 'Strengthen parliamentary power over courts']",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,3,"['Promoting judicial reform and reduced government oversight', 'Criticizing opponents of the judicial reform', ""Defending the government's actions and policies""]","['Kohelet Forum', 'Yair Lapid', 'Supreme Court', 'Protesters against judicial reform', 'International Association of Jewish Lawyers and Jurists']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party', 'Kohelet Forum']",75,"['אבל למה הוא נכנס לי לחדר המיטות?', 'הסיפור הכי עצוב של התקופה הזו זה נירמול השנאה']","['cynical', 'angry']","['Promoting the judicial reform agenda', ""Defending the government's actions"", 'Criticizing opponents of the reform']","Highly partisan, defensive of the government's policies, and willing to use toxic language to attack perceived opponents.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,4,"['Promoting judicial reform and reduced oversight', 'Advocating for free-market economics and privatization', 'Opposing labor unions and supporting educational autonomy']","['Aharon Barak', 'Uzi Vogelman', 'Anat Guetta', 'Yair Lapid', 'Kohelet Forum']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"[""כלומר הקונצנזוס הכי רחב של המפעל הציוני הצדיק בעיני הש' קרא לשבור את כל שיטת המשטר הדמוקרטית ולבטל חוק יסוד."", 'אפשר להסכים שנקיים את הדיון בתוך גבולות ההגיון, המשפט והאמת?']","['cynical', 'frustrated']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","The user appears to strongly support the Kohelet Forum's agenda of judicial reform, free-market economics, and reduced government regulation, while being highly critical of perceived opponents of this agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
ptr_dvd,5,"['Questioning motives behind judicial reform', ""Criticizing Israel's security and internal security weaknesses"", 'Referencing past legal scholars on judicial issues']",['Kohelet Forum'],"['Landau', 'Brenzon']",60,"['תעברו היטב על מי שחתום על המודעה הזו. הם רוצים משפט וצדק או שהם רוצים תוצאה מסוימת? הכל גלוי, רק צריך להתבונן.', 'החולשה שמקרינה מדינת ישראל בתחומי הביטחון וביטחון הפנים מזכירה לי ילד שמשחק שחמט. הוא מספר לעצמו שאובדן הרץ, הצריח והפרש זו הקרבה (', ') כי יש לו מהלך על מה שחשוב באמת. רק שמהר מאוד מסתבר שלא עסקינן בבובי פישר ולא במיכאיל טל אלא בילד רגיל שנשאר בלי כלים.']","['cynical', 'frustrated']","['Seeking justice and truth', ""Highlighting Israel's security weaknesses""]",Insufficient data for profile,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data
