author_username,created_at,impression_count,like_count,reply_count,retweet_count,text
ptr_dvd,1727761194,3778,270,9,3,אני רוצה ספר פרשת שבוע של חאבייר מיליי
ptr_dvd,1727804885,7100,506,24,50,"אחרי אסון הפיגוע הערב והשוואתו לכך שהיו 0 נפגעים בפועל מטילי האויב - זה ערב מצוין להירהורים על: א. ההשלכות האסטרטגיות של ההפחדה העצמית מהאיום הרקטי והשיתוק שזה גזר עלינו. ב. האיום שנשקף מסתם פלסטינים חמושים. והמשמעות של האויב שאנחנו מתעלמים ממנו ביו""ש."
ptr_dvd,1727871913,10438,236,14,17,יהודים חמושים זו ציונות. מדיניות ממשלתית חשובה.
ptr_dvd,1728146747,3683,207,7,5,"אחרי 3 ימים של פיוטי אשכנז לר""ה, קריאת כרך ט' של דובנוב, העמקה בשירת האזינו והתקדמות משמעותית ב""קורבנות"" של בני מוריס - תשפוכת המלל בטוויטר נראית מטומטמת מתמיד. חשוב להתמקד. בניגוד לציפיות ה""מומחים"", המלחמה מתקדמת ללא משבר דיפלומטי, האויב נכתש בכל החזיתות ואחוז בעתה. שנה טובה."
ptr_dvd,1728165517,63277,2025,100,192,"פשוט שקוף שהערך העליון של אילנה דיין הוא לקבל לגיטימציה מכריסטיאן אמנפור שהיא האילנה דיין של האנטישמים בחו""ל. ולכן היא תגיד כל מה שצריך כדי להיתפס כ""אחת מהטובים"". דיין, ממש כמו נדב אייל, ברק רביד, רונן ברגמן ואווילים אחרים, משוכנעת שיש איזו אחווה אוניברסלית של ""עיתונאים"" ושהמעמד שלה תלוי בפידבק מבכירי המסדר המקצועי האוניברסליסטי הזה. היא לא קודם כל יהודיה ציונית, היא קודם כל עיתונאית, והערכים שלה נגזרים מהערכים שמוגדרים כ""ראויים"" במסדר. זה דומה מאוד לתודעה של בכירי המשפטנים אגב. מזכיר אחד לאחד את היהודים של מערב אירופה בסוף המאה ה-19 שתפסו את עצמם קודם כל כאנשי השכלה והם סלדו עמוקות מהפרימיטיביות של הנאמנות ליהודים או ליהדות. כמה שהאנשים האלה פתטים, עלובים, אוויליים, חלשים, בוגדניים ובזויים. הציונות היא כל כולה ההתעוררות של הרצל, עורך העיתון האליטיסטי הוינאי, מההבלים של היהודים הקוסמופוליטיים האלה והניוון המוסרי והלאומי אליו הם שוקעים. אנחנו פה כי נפל לנו האסימון לאן מוביל האילנדייניזם."
ptr_dvd,1728194604,1895,96,5,1,אתה אומר שאני רוצה לשלול זכות בחירה מאזרחים שאינם יהודים? רק מוודא שאני מבין נכון לפני שאני מתניע
ptr_dvd,1728194836,1349,86,3,2,מציע לך להרהר בתחושות האלה שלך בשעה שאתה מטיח גידופים בכל מי שאתה לא מסכים איתו. נקודה למחשבה.
ptr_dvd,1728211899,464,47,1,1,"אתה מעט מבולבל. מי ש""שונא זרים"" ו""מתנגד להומניזם"" הוא מי שבז לזכויות הפוליטיות של אזרחי ישראל, מתנגד לחירות אישית ומתגייס לצמצום החופש הפוליטי בכל הזדמנות, כלומר אתה."
ptr_dvd,1728214486,396,36,1,2,"אח שלי גיבור אתה משנה קו טיעון כל תגובה. התחלת ברמיזות על ""שנאת זרים"" ושלילת זכות הצבעה, המשכת להומניזם ועכשיו אתה בערכים אוטופיים סוציאליסטים שהיו מקובלים באינטליגנציה של המאה ה-19. כל זה רק כי אתה לא מסוגל להתמודד עם החרפה של אילנה דיין. הלכת רחוק."
ptr_dvd,1728212829,6830,133,18,5,"אני נאלץ לחלוק הפעם על ד""ר ברץ, אותו אני מעריך מאוד. יש נטייה יהודית לחשוב שהקיום מתחיל בטקסט. תורה קדמה לעולם, הסתכל באורייתא וברא עלמא ותלמוד תורה כנגד כולם. יש לזה מקום במחשבה דתית של עם גולה, אבל זו סכנה גדולה בענייני מדינה. הרוויזיוניסטים, וברץ ביניהם בדורנו, האמינו יתר על המידה בערך של החוק הכתוב, ההסכמים והנורמות הפורמליות. אלא שחיינו מושפעים מהמציאות בפועל ולא מהניסוח האנושי בנוגע למציאות הרצויה. חוק-יסוד: הלאום לא שינה דבר במשפט החוקתי בישראל, חוק הסבירות לא היה מוציא מהמערכת את החלפת שיקול הדעת הדמוקרטי בשיקול הדעת השיפוטי ושום חוק בדבר כפיפות הצבא לדרג המדיני לא תשנה את התרבות הארגונית שהתפתחה כאן. ולראיה - חוק יסוד הצבא כבר מורה על כפיפות מפורשת לממשלה וזה עדיין ""לא מספיק"" משום מה. התרבות הפוליטית הנוהגת היא זו שמכריעה את החיים הפוליטיים, את היחסים של הצבא עם הדרג הנבחר, ואת היחסים בין הרשויות. יש לנו בעיה תרבותית בישראל. כחלק מהבעיה הזו הקצונה הבכירה של צה""ל מרגישה שחובתה העליונה היא להגן על הערכים או על המדינה מפני הדרג המדיני, כלומר מפני הרצון האזרחי-דמוקרטי. יותר מדי מוקדי כוח נהנים מצמצום החופש הפוליטי בישראל ובמקביל הפחידו אזרחים רבים מרעיון החירות הפוליטית עד מצב שבו הם לא יצאו מתאיהם גם אם השערים ייפתחו. הבעיה, כך אני מבקש לשכנע אתכם, ובניגוד לדברי ד""ר ברץ, אינה מה בדיוק כתוב בספר החוקים."
