author_username,created_at,impression_count,like_count,reply_count,retweet_count,text,word_count
ptr_dvd,2023-06-09 06:50:09,4442,77,13,5,אין הרבה דברים שמעוררים אצלי סלידה וגיחוך כמו פוליטיקה שנשענת על מטאפיזיקה. טיעונים מעין - מגיע לי כוח כי *קונספט מעבר להסכמה שלנו*. לכן קשה לי עם רבנים רודפי שררת מדינה ומשפטנים אקטיביסטים. אותן גלימות בצבעים שונים.,37
ptr_dvd,2023-06-10 17:57:51,5512,254,4,2,אביעד אני ממליץ בחום לקרוא את הדברים עליהם אתה כותב. עצה טובה בדוקה ומנוסה.,14
AmiadCohen,2023-06-11 10:10:09,0,0,0,1,"RT : כיצד ""שולחן ערוך"" הפך לסימבול של ההלכה היהודית כולה? בפרק השני של השיחה על הספר 'שולחן ערוך' בין מתנאל בראלי לד""ר תרצה קל…",25
ptr_dvd,2023-06-11 11:03:12,2854,30,4,1,כשקריאות רגשיות מובילות מבחינת ההרגל ותבניות השפה לטיעון רציונלי ואז פתאום הכל קורס. [מילות כעס]+[הנמקה -&gt; קריסה]+[סיומת כעס].,18
ptr_dvd,2023-06-11 15:55:28,4958,17,4,0,יהי רצון מלפניך אב הרחמן שלא תיתן לאותו האיש לחלל את שמו של הצדיק רפאל נדאל בעולמך אשר יצרת. מי שענה לפנחס גרשון בז'לגיריס הוא יעננו. רחמא דעני לתבירי מחבטא עננא. מי שעשה נסים לחביטין דבננה לאורך קוין למלאך רפאל הוא יעננו. אמן כן יהי רצון שנובאק יבכה אמן.,49
ptr_dvd,2023-06-11 16:50:21,2742,22,8,1,"דרך רשעים צלחה אמר ירמיהו. אין שום יכולת לסמוך על ניצחון האמת, הטוב או הצדק. לכן על היהודים להיות חמושים.",20
AmiadCohen,2023-06-11 16:54:52,588,18,1,2,הפוליטיקאים החרדים הם האיום החמור ביותר על עתיד הציבור החרדי,10
ptr_dvd,2023-06-11 19:54:39,3267,33,21,0,חברים לא להתבלבל ממעשי השטן. נדאל עדיין הגדול מכולם. אנחנו פשוט בהסתר פנים כרגע. להחזיק מעמד.,16
ptr_dvd,2023-06-12 07:37:45,1256,11,0,0,אוטו דיקס היה צייר פשוט מדהים. רפובליקת ויימאר חיה דרכו על קנבס. לא פלא שהיטלר ראה בו התגשמות של מה שהוא תפס כאומנות מנוונת.,24
AmiadCohen,2023-06-12 22:41:59,9,0,0,0,"אני ממש בעד שתסתדרו לבד, אבל לבקש שהמדינה תדאג למימון ייחודי ולהגנה משפטית ייחודית זה לא ""להסתדר לבד""",18
AmiadCohen,2023-06-13 08:01:22,295,10,0,0,פשרה בבית הנשיא: הימין יקבל את הכבל מאריך,8
ptr_dvd,2023-06-13 15:20:26,1343,26,0,1,הצהרת ראש העיר בעמוד 4 בכל קומיקס אי פעם,9
ptr_dvd,2023-06-14 05:03:11,27,0,1,0,"שמע זה מדהים. מבחינתך התנהלות המדינה עד 92 או הדוג' הטריעה ממשלת החילופים היא כלום. אילטוב - כלום. גזלייטינג על מלא. נסה את זה על אנשים שלא מכירים את הסוגיה, לא אצלי בבקשה. אגב אתה גם מטעה בהצגת פסק הדין.",40
ptr_dvd,2023-06-14 06:45:24,3239,166,18,8,"אני דורש חופשה במונטה קרלו על יאכטה, עם וויסקי חופשי בשווי של 30K$ לבקבוק ושיחות על שופנהאואר וניטשה עם שרליז ת'רון. ההבדל בינינו הוא שטופורובסקי דווקא יקבל את מה שהוא רוצה.",31
ptr_dvd,2023-06-14 07:08:45,9782,236,31,28,"מגיבים משמאל מתקשים הבוקר להתמודד עם עובדות פשוטות. אין שום נוהג בעניין מינויו של איש אופוזיציה לוועדה לבחירת שופטים. אפילו בג""ץ פסק כך, לא שצריך את פסיקתו כדי לדעת עניין עובדתי פשוט. אל תאמינו. תקראו 👇 ותיזכרו שרק לאחרונה גנץ קיבל 2 מועמדי קואליציה בהסכמים קואליציוניים.",46
ptr_dvd,2023-06-14 07:38:24,253,20,3,0,"אתה פשוט לא קורא נכון את פס""ד אבירם שהעתירה בו נדחתה. ואתה מתעלם לחלוטין מפסד הדין המאוחר יותר והמקיף יותר שהוא ההלכה הנוהגת ואליו הפניתי. לקינוח הנה דבריה של שולמית אלוני עת החוק נחקק. נדמה לי שאתה לא ממש טוב בלזהות כשמערבבים אותך. כי ערבבו אותך.",46
ptr_dvd,2023-06-14 07:40:05,1073,40,0,1,"לקינוח, הנה ציטוט של שולמית אלוני כאשר החוק נחקק. שימו לב:",11
ptr_dvd,2023-06-14 07:44:16,503,14,0,1,השפה האלימה שלך בשילוב חוסר היכולת שלך להחזיק טיעון זה אחד הדברים הכי מעייפים בטוויטר. מיציתי. כל בר דעת יכול לקרוא ולהחליט מי צודק.,24
ptr_dvd,2023-06-14 08:25:53,1775,14,1,0,"קורמאק מקארתי היה אחד הסופרים האהובים עלי ביותר. קו אורך דם, הדרך, No Country For Old Me ועוד. שליטה וירטואוזית בשפה וסוריאליזם היפר ריאליסטי אפל. עומק רגשי אשר ירד עד השיתין דווקא באמצעות תיאורים קרים, אגביים, אגרסיביים ואדישים. שיקוף ייחודי של החוויה האנושית. אומנות אמיתית. היה סופר מבריק.",48
ptr_dvd,2023-06-14 11:05:06,3060,122,3,4,"לפעמים כשאני מתמודד עם טנטרום של ילדים והם אומרים ""לא, לא, לא, לא"" אני משיב להם בנחת ""כן, כן, כן, כן"". ואז פתאום אני מחליף ל""לא"" והם אוטומטית עונים את ההפך ואומרים ""כן"". אז ליברמן-&gt;",35
